Year,Exporting_Country,Importing_Country,Chip_Export_Value_USD,Chip_Import_Value_USD,Trade_Balance,Logistics_Route,Supply_Chain_Dependency
1990,Netherlands,USA,3032511633.165598,3004858587.8923736,27653045.273224354,Indian Ocean,10.612869351235119
1990,Netherlands,China,10137479557.082247,10345325356.063417,-207845798.98117065,Indian Ocean,48.692030334090816
1990,Netherlands,Japan,15963340371.054262,15275092983.495733,688247387.5585289,Indian Ocean,28.009754965371396
1990,Netherlands,Germany,876205584.6180259,889940099.3453971,-13734514.727371216,Pacific Ocean,45.835360902590885
1990,Netherlands,South Korea,762055835.2399524,729026197.5684655,33029637.671486974,Indian Ocean,31.817938930113865
1990,Netherlands,India,9383636102.09442,9573649255.616732,-190013153.52231216,Eurasian Railway,37.21367603107916
1990,Netherlands,UK,6893721202.626809,6993320325.727928,-99599123.10111904,Eurasian Railway,86.43697149030228
1990,Netherlands,Taiwan,7246510969.7550335,7358930788.175042,-112419818.42000866,Eurasian Railway,71.31240188547537
1990,Netherlands,Vietnam,3789561580.087622,3950180868.37667,-160619288.28904772,Pacific Ocean,52.339066926168805
1990,Netherlands,Mexico,12091300507.322187,11771478832.605618,319821674.7165699,Pacific Ocean,12.938255112473245
1990,China,USA,6849763283.688723,6659604385.955624,190158897.73309898,Pacific Ocean,15.003242412763289
1990,China,Japan,3324853547.1348195,3475839654.792869,-150986107.65804958,Eurasian Railway,27.96051028570272
1990,China,Germany,7993646102.175682,8071234046.713624,-77587944.53794193,Eurasian Railway,22.61263177608258
1990,China,South Korea,4210807442.2783303,4179555619.4162416,31251822.86208868,Indian Ocean,39.35431082710272
1990,China,India,6287293229.566918,6214181659.988003,73111569.5789156,Eurasian Railway,33.92271699982665
1990,China,UK,5110660363.354436,5235046583.925419,-124386220.57098293,Indian Ocean,11.30174649883749
1990,China,Taiwan,6379618652.707166,6158136269.399742,221482383.3074236,Indian Ocean,33.82167315958746
1990,China,Vietnam,7739378739.461927,7909248405.628326,-169869666.166399,Pacific Ocean,37.52371203350976
1990,China,Mexico,5379765729.992738,5270181002.299049,109584727.6936884,Eurasian Railway,30.387825685230542
1990,Germany,USA,8813419166.36915,9202568607.72355,-389149441.35440063,Pacific Ocean,26.627138989329687
1990,Germany,China,2321608481.7757683,2417290302.330685,-95681820.55491686,Indian Ocean,24.363310850992313
1990,Germany,Japan,9963617578.853918,9797341299.109947,166276279.74397087,Eurasian Railway,9.407984572338293
1990,Germany,South Korea,1807242880.98861,1877753611.861928,-70510730.87331796,Air Freight,26.191270107780106
1990,Germany,India,6636070068.334134,6768117218.885551,-132047150.55141735,Air Freight,14.416174207156882
1990,Germany,UK,8692347694.400726,8515477298.938862,176870395.46186447,Air Freight,6.82389650134428
1990,Germany,Taiwan,1188524825.4369178,1137529700.1883106,50995125.24860716,Air Freight,24.381454271826453
1990,Germany,Vietnam,1469891434.8751285,1511650271.582702,-41758836.707573414,Eurasian Railway,33.74521246867648
1990,Germany,Mexico,7580760216.679324,7238674511.868711,342085704.8106127,Eurasian Railway,36.56958330026046
1990,Malaysia,USA,2397736997.0064406,2322085488.013744,75651508.99269676,Eurasian Railway,21.077082107056032
1990,Malaysia,China,6764186870.905629,6652946838.904834,111240032.00079536,Air Freight,34.01356560237357
1990,Malaysia,Japan,3240834462.042642,3402453014.1670094,-161618552.12436724,Pacific Ocean,31.354981640176746
1990,Malaysia,Germany,5956585621.072864,6068221168.855731,-111635547.78286743,Pacific Ocean,28.696423980170106
1990,Malaysia,South Korea,8545670600.893711,8580965345.304697,-35294744.41098595,Pacific Ocean,27.619133062128263
1990,Malaysia,India,5395749838.524514,5200357984.513971,195391854.01054287,Pacific Ocean,23.965833382043837
1990,Malaysia,UK,1443966554.8954906,1420427462.987658,23539091.907832623,Eurasian Railway,34.9253853151306
1990,Malaysia,Taiwan,8867689514.550959,8443798620.624426,423890893.92653275,Eurasian Railway,39.49163896515513
1990,Malaysia,Vietnam,5048103831.47255,4813578505.371518,234525326.10103226,Eurasian Railway,29.3209086917051
1990,Malaysia,Mexico,5117448263.868201,5134637229.81989,-17188965.951688766,Pacific Ocean,35.50590028330463
1990,Singapore,USA,3826872681.426791,3696290710.6005635,130581970.82622766,Air Freight,6.395576780427046
1990,Singapore,China,4225214518.2121954,4335487401.7577715,-110272883.5455761,Eurasian Railway,10.759700681693714
1990,Singapore,Japan,5069542932.22185,4904755671.844624,164787260.37722683,Air Freight,31.4024177391992
1990,Singapore,Germany,8237954297.860717,8608108468.302393,-370154170.44167614,Pacific Ocean,30.42648262631551
1990,Singapore,South Korea,4920586181.17726,4742926417.3514595,177659763.8258009,Indian Ocean,30.77952938158323
1990,Singapore,India,7063425099.262481,7168361957.371653,-104936858.10917187,Air Freight,27.022664023101473
1990,Singapore,UK,11920843249.236807,12347145997.284996,-426302748.04818916,Eurasian Railway,30.40058812770749
1990,Singapore,Taiwan,3499374677.330919,3576001513.213888,-76626835.88296938,Indian Ocean,16.188431493210643
1990,Singapore,Vietnam,4024202095.434748,3966682621.0409956,57519474.393752575,Pacific Ocean,15.917860875489318
1990,Singapore,Mexico,551242367.5789652,561398414.3262976,-10156046.747332454,Air Freight,39.89454153118016
1991,Taiwan,USA,5050147741.32251,5259757016.947711,-209609275.62520123,Eurasian Railway,39.47178961768172
1991,Taiwan,China,5950467269.858175,5792239963.32737,158227306.5308056,Air Freight,49.56019638367377
1991,Taiwan,Japan,8754063792.296925,8521530984.530152,232532807.76677227,Indian Ocean,43.52929738150712
1991,Taiwan,Germany,4510192176.9465475,4472547635.192569,37644541.75397873,Indian Ocean,42.629037074052945
1991,Taiwan,South Korea,5410378660.778513,5464048043.225703,-53669382.447190285,Eurasian Railway,55.73752803400339
1991,Taiwan,India,3663674679.004079,3775983383.5304475,-112308704.52636862,Air Freight,79.92367314729313
1991,Taiwan,UK,8703601633.853024,9135784838.543453,-432183204.6904297,Indian Ocean,23.52536489316904
1991,Taiwan,Vietnam,5939617284.521374,5692096136.886782,247521147.63459206,Pacific Ocean,56.445361887263005
1991,Taiwan,Mexico,4121241871.6381717,4229391344.9047523,-108149473.26658058,Eurasian Railway,43.13081145116654
1991,USA,China,3265232573.121564,3219845596.452147,45386976.669416904,Air Freight,35.039134599510085
1991,USA,Japan,2113989202.8402095,2134168388.8198378,-20179185.979628325,Pacific Ocean,45.07746728977261
1991,USA,Germany,9410217127.522419,9676923667.179983,-266706539.65756416,Air Freight,87.83478500029618
1991,USA,South Korea,200912647.1608597,210565729.0577748,-9653081.896915108,Indian Ocean,78.02870778834115
1991,USA,India,5246755619.103833,5187227327.151838,59528291.951994896,Pacific Ocean,27.947774909741163
1991,USA,UK,8228329089.276172,8266174577.519869,-37845488.24369717,Pacific Ocean,49.57070904159342
1991,USA,Taiwan,716531472.4536978,729197403.8003064,-12665931.346608639,Eurasian Railway,82.16851725746503
1991,USA,Vietnam,8874906590.799543,8883672917.13302,-8766326.33347702,Eurasian Railway,20.70170138854314
1991,USA,Mexico,4915768852.002381,4673617354.846138,242151497.15624332,Eurasian Railway,74.10498118843782
1991,South Korea,USA,7463403765.079427,7575476872.476408,-112073107.39698124,Indian Ocean,23.697668428839865
1991,South Korea,China,2802372993.6577406,2827707358.8216295,-25334365.16388893,Pacific Ocean,8.193483793980231
1991,South Korea,Japan,893696029.844806,922436254.0352228,-28740224.190416813,Eurasian Railway,15.174544124262672
1991,South Korea,Germany,11580379567.950127,11196641415.57928,383738152.3708458,Indian Ocean,7.035355979644754
1991,South Korea,India,10068760197.27105,10268741186.044407,-199980988.7733574,Indian Ocean,19.523547577088188
1991,South Korea,UK,2428834643.7324033,2498893470.839314,-70058827.1069107,Indian Ocean,15.83716632979376
1991,South Korea,Taiwan,576567201.4302483,566818135.3432945,9749066.08695376,Eurasian Railway,13.627345560251944
1991,South Korea,Vietnam,5318614810.395522,5164848499.777269,153766310.61825275,Pacific Ocean,15.032289849689123
1991,South Korea,Mexico,8240880738.393003,7839325102.52641,401555635.86659336,Air Freight,5.1665664024466755
1991,Japan,USA,6661947019.943467,6961800401.940906,-299853381.99743843,Indian Ocean,22.768099875793084
1991,Japan,China,4461155194.556282,4637436474.642369,-176281280.08608723,Pacific Ocean,36.20506483635603
1991,Japan,Germany,9872307879.900047,9944146593.998241,-71838714.09819412,Indian Ocean,32.50550689575869
1991,Japan,South Korea,7832015055.472644,7731647236.413453,100367819.05919075,Air Freight,13.087716791774506
1991,Japan,India,6326186394.64271,6301395840.213467,24790554.429243088,Air Freight,14.503080220657498
1991,Japan,UK,1537811511.8262558,1538970764.136904,-1159252.310648203,Indian Ocean,14.188749342357342
1991,Japan,Taiwan,1574550167.0898955,1510602120.3010213,63948046.78887415,Air Freight,23.713336421250883
1991,Japan,Vietnam,4226481738.8844376,4397277207.179991,-170795468.2955532,Eurasian Railway,38.595129280148406
1991,Japan,Mexico,5431153159.535397,5230651511.109689,200501648.42570782,Eurasian Railway,9.369801745164953
1991,Netherlands,USA,7942466207.970149,7551791232.625678,390674975.344471,Indian Ocean,32.125625234263985
1991,Netherlands,China,7512129192.400442,7884192483.525685,-372063291.1252432,Pacific Ocean,36.198110937169844
1991,Netherlands,Japan,7153339984.465615,7349920720.887688,-196580736.4220724,Air Freight,79.85693277547438
1991,Netherlands,Germany,2573666336.26414,2534902981.386599,38763354.877541065,Eurasian Railway,56.48868173588043
1991,Netherlands,South Korea,2465072095.777312,2399789650.410782,65282445.36652994,Eurasian Railway,27.824042992678415
1991,Netherlands,India,15086894315.84044,15076447631.065777,10446684.774663925,Indian Ocean,40.72120237817474
1991,Netherlands,UK,9914174298.306934,9807542242.155783,106632056.15115166,Pacific Ocean,64.57383825888334
1991,Netherlands,Taiwan,11153072868.556591,11561404017.721174,-408331149.1645832,Air Freight,17.327362731557496
1991,Netherlands,Vietnam,6162823897.283528,6296122284.160652,-133298386.87712383,Air Freight,50.244020731747284
1991,Netherlands,Mexico,14997045993.175278,15581263590.081604,-584217596.9063263,Air Freight,42.07146546133012
1991,China,USA,3727910395.531571,3905168992.7020545,-177258597.1704836,Air Freight,6.130277752362192
1991,China,Japan,4961104292.815605,5110427285.353881,-149322992.53827572,Indian Ocean,6.570041766488504
1991,China,Germany,3708753271.179307,3649206346.710826,59546924.468481064,Air Freight,28.52844176887933
1991,China,South Korea,9221241516.02798,8936605307.074997,284636208.95298386,Pacific Ocean,39.014646899827596
1991,China,India,2028534682.8265219,1975722215.048846,52812467.77767587,Air Freight,20.147752347240115
1991,China,UK,7110356439.282164,7159820286.282339,-49463847.000175476,Indian Ocean,13.480698928324747
1991,China,Taiwan,11229191692.752897,11138090004.198374,91101688.55452347,Air Freight,39.9736132159409
1991,China,Vietnam,6723321934.600703,6610199684.2952795,113122250.30542374,Indian Ocean,17.515983399026098
1991,China,Mexico,133126793.7730999,138309920.57146895,-5183126.79836905,Air Freight,16.007586644399897
1991,Germany,USA,1279509552.8167667,1271102660.9628184,8406891.853948355,Indian Ocean,25.641349908623695
1991,Germany,China,7930157574.259148,8203947688.574186,-273790114.3150387,Air Freight,11.580883321975488
1991,Germany,Japan,9828646038.69851,9362256570.152388,466389468.5461216,Air Freight,19.472195202278805
1991,Germany,South Korea,4351969850.630482,4456955769.108141,-104985918.47765923,Pacific Ocean,23.142417670796405
1991,Germany,India,9146860288.803583,9567556639.632761,-420696350.82917786,Eurasian Railway,12.500789175664107
1991,Germany,UK,4353819866.841519,4157944571.741549,195875295.09997034,Air Freight,8.376870690730897
1991,Germany,Taiwan,738320491.081714,732945193.252166,5375297.829548001,Indian Ocean,37.41464935706318
1991,Germany,Vietnam,5237073458.674225,5076314241.910209,160759216.76401615,Eurasian Railway,18.131831711875755
1991,Germany,Mexico,578785569.1799667,563262331.2993594,15523237.880607247,Air Freight,31.43090073033647
1991,Malaysia,USA,5220364455.763159,5418631395.929964,-198266940.16680527,Pacific Ocean,27.801756840983167
1991,Malaysia,China,561853254.9499298,570846615.3523902,-8993360.402460337,Air Freight,31.080307873437505
1991,Malaysia,Japan,3500565573.7150764,3367073551.5403,133492022.17477655,Indian Ocean,34.08661865816688
1991,Malaysia,Germany,4734115177.856792,4562314112.866324,171801064.99046803,Indian Ocean,30.352694729712645
1991,Malaysia,South Korea,1028911145.9823458,1027047914.5837598,1863231.3985860348,Pacific Ocean,30.192234438786446
1991,Malaysia,India,3433847319.816635,3490782383.418054,-56935063.60141897,Air Freight,24.681771458712234
1991,Malaysia,UK,850784923.1833954,827461690.9083709,23323232.275024533,Eurasian Railway,6.744728812226459
1991,Malaysia,Taiwan,946425937.9813564,983114927.6944759,-36688989.71311951,Indian Ocean,30.737867740638436
1991,Malaysia,Vietnam,10472325523.468098,10547717832.100054,-75392308.6319561,Indian Ocean,30.864180857848762
1991,Malaysia,Mexico,3242832383.8181944,3262750404.4663434,-19918020.648149014,Air Freight,16.19697722991055
1991,Singapore,USA,6200556709.792313,6157768740.206357,42787969.58595562,Indian Ocean,12.220438303566691
1991,Singapore,China,5686693728.039815,5936507495.763325,-249813767.7235098,Eurasian Railway,29.510695731006663
1991,Singapore,Japan,10171565015.454657,10574729806.757666,-403164791.30300903,Pacific Ocean,21.667786643873225
1991,Singapore,Germany,1549422447.9782283,1513670482.9368956,35751965.04133272,Pacific Ocean,5.726743140356135
1991,Singapore,South Korea,4473412974.8642435,4327022948.2166195,146390026.64762402,Indian Ocean,37.14898172847161
1991,Singapore,India,4080547774.6989202,3943086735.1753206,137461039.52359962,Pacific Ocean,23.369172983048188
1991,Singapore,UK,3540559449.6211567,3429421487.4554777,111137962.16567898,Air Freight,20.76646440802641
1991,Singapore,Taiwan,2521527363.131826,2538030566.8858066,-16503203.753980637,Eurasian Railway,19.546051340263375
1991,Singapore,Vietnam,1372940657.4213243,1374002072.9026706,-1061415.4813463688,Pacific Ocean,17.60489531315022
1991,Singapore,Mexico,3618048144.1111355,3791942437.340173,-173894293.22903728,Air Freight,12.952724293496868
1992,Taiwan,USA,10196269518.133757,10227632404.208025,-31362886.07426834,Air Freight,39.741284066128486
1992,Taiwan,China,23419399550.615086,23204176787.432583,215222763.18250275,Eurasian Railway,56.721534389427674
1992,Taiwan,Japan,1658049262.518389,1655124698.4761384,2924564.0422506332,Air Freight,89.25673916495265
1992,Taiwan,Germany,6806405015.790273,6641567143.201973,164837872.58829975,Air Freight,79.04207688961407
1992,Taiwan,South Korea,10037526266.264671,10512226690.286793,-474700424.0221214,Indian Ocean,39.86633539400242
1992,Taiwan,India,9075722709.288498,9425042530.311844,-349319821.02334595,Indian Ocean,48.11565890350629
1992,Taiwan,UK,1353272713.3398633,1400927939.1003203,-47655225.76045704,Air Freight,26.63618723982485
1992,Taiwan,Vietnam,6554035104.866208,6416464234.613573,137570870.252635,Eurasian Railway,44.260056020792256
1992,Taiwan,Mexico,8273864023.753081,7875543938.314207,398320085.43887424,Pacific Ocean,19.352539089212442
1992,USA,China,2151378766.796162,2190817751.025774,-39438984.22961187,Eurasian Railway,17.680880969092108
1992,USA,Japan,5821593181.940399,5769318189.039022,52274992.901376724,Air Freight,60.26311956682571
1992,USA,Germany,13488867871.736937,13043657658.940517,445210212.79641914,Pacific Ocean,42.73163374992298
1992,USA,South Korea,7415381445.137667,7523993440.008154,-108611994.87048721,Pacific Ocean,62.86004439306385
1992,USA,India,2717147644.884105,2738215028.7548494,-21067383.87074423,Indian Ocean,36.93732778240761
1992,USA,UK,8655059983.15041,8591740784.130985,63319199.01942444,Indian Ocean,58.100015797774134
1992,USA,Taiwan,10079764509.276289,10191168642.792501,-111404133.51621246,Eurasian Railway,19.713769786500997
1992,USA,Vietnam,4407985237.071258,4364692318.132744,43292918.938513756,Pacific Ocean,44.44475711839956
1992,USA,Mexico,5396411704.963306,5482384203.294569,-85972498.33126259,Indian Ocean,53.1438611067409
1992,South Korea,USA,3317777500.185812,3296753182.410427,21024317.775384903,Air Freight,16.51169791455399
1992,South Korea,China,9779173124.902594,9526557344.516964,252615780.38562965,Eurasian Railway,28.307551092723795
1992,South Korea,Japan,5797628480.438135,5796127694.43958,1500785.9985551834,Indian Ocean,25.134204616779314
1992,South Korea,Germany,3415491859.0688586,3410913110.620043,4578748.448815823,Pacific Ocean,29.89225062569079
1992,South Korea,India,4322418348.02753,4267824980.933534,54593367.09399557,Eurasian Railway,23.43678098818193
1992,South Korea,UK,8316439575.011423,7994369262.132263,322070312.8791599,Indian Ocean,29.819794704579895
1992,South Korea,Taiwan,11944142629.492144,12497813526.106176,-553670896.6140327,Pacific Ocean,16.50667556998669
1992,South Korea,Vietnam,1214987457.5703065,1225422038.6540098,-10434581.08370328,Pacific Ocean,12.421517676753586
1992,South Korea,Mexico,6504460751.266893,6384244459.165409,120216292.1014843,Indian Ocean,16.96258369184291
1992,Japan,USA,7270371607.388775,7161925458.723713,108446148.66506195,Air Freight,18.003942855735602
1992,Japan,China,3925650863.1096697,4028488327.5685096,-102837464.4588399,Air Freight,36.88574545676782
1992,Japan,Germany,3726200280.9136615,3848174897.769174,-121974616.85551262,Pacific Ocean,29.85079560250646
1992,Japan,South Korea,5855103824.285893,5865946383.19207,-10842558.906176567,Pacific Ocean,36.67548810537214
1992,Japan,India,6999810885.359027,7050398065.27901,-50587179.91998291,Indian Ocean,5.617219016832123
1992,Japan,UK,6702863122.601848,6653643331.564348,49219791.03749943,Eurasian Railway,36.45041131427141
1992,Japan,Taiwan,5900518286.601001,5704344043.251208,196174243.34979248,Eurasian Railway,22.403901058196503
1992,Japan,Vietnam,848920863.155548,875095334.4261618,-26174471.27061379,Air Freight,15.322602071642347
1992,Japan,Mexico,6394718861.306449,6215025796.3085375,179693064.99791145,Eurasian Railway,7.51117874789998
1992,Netherlands,USA,8930575916.061968,8705212920.763638,225362995.2983303,Eurasian Railway,38.339215890703
1992,Netherlands,China,14841549113.117512,14143715388.194895,697833724.922617,Air Freight,25.682336136280615
1992,Netherlands,Japan,20190155150.65252,19771224967.659546,418930182.9929733,Indian Ocean,64.11665875703224
1992,Netherlands,Germany,2693192211.6747932,2626027225.9524136,67164985.72237968,Indian Ocean,74.4467399314902
1992,Netherlands,South Korea,8443526832.490262,8813709499.704866,-370182667.2146044,Pacific Ocean,64.4332513018909
1992,Netherlands,India,7336171161.004598,7656445963.479821,-320274802.47522354,Indian Ocean,84.56366689908981
1992,Netherlands,UK,13486227961.39993,13177544065.77773,308683895.6221981,Eurasian Railway,74.0860736199595
1992,Netherlands,Taiwan,14741190316.540895,14075948658.651634,665241657.8892612,Air Freight,41.025687097990094
1992,Netherlands,Vietnam,3395785202.2107205,3562424501.5936704,-166639299.38294983,Indian Ocean,47.879758938954325
1992,Netherlands,Mexico,12266074188.945066,11919106113.18596,346968075.7591057,Air Freight,22.610738537345423
1992,China,USA,752802614.587961,738197973.5152603,14604641.07270062,Indian Ocean,25.40824602124125
1992,China,Japan,622689156.1335708,604205032.5463008,18484123.58727002,Indian Ocean,32.86130042022468
1992,China,Germany,238347622.4744039,249186568.29322964,-10838945.818825752,Indian Ocean,9.116302212160392
1992,China,South Korea,6793229637.904375,7067032569.0274935,-273802931.1231184,Pacific Ocean,32.071842118248966
1992,China,India,8033954030.199862,8070731451.536544,-36777421.33668232,Eurasian Railway,34.42917918199301
1992,China,UK,4949344909.508517,5121479705.470341,-172134795.96182346,Eurasian Railway,20.1900005808417
1992,China,Taiwan,2716844615.957308,2618746822.74042,98097793.21688795,Air Freight,21.99640804730698
1992,China,Vietnam,12035252084.19437,11557636307.532753,477615776.6616173,Indian Ocean,30.57981206149133
1992,China,Mexico,2200443607.867884,2206984414.7878184,-6540806.919934273,Pacific Ocean,15.92953470474863
1992,Germany,USA,3752359649.6591635,3582468411.564113,169891238.09505033,Air Freight,5.532578539184202
1992,Germany,China,6787628642.287791,6526599278.276961,261029364.01082993,Pacific Ocean,11.513152155792113
1992,Germany,Japan,1556462785.5102582,1520918252.9136271,35544532.59663105,Air Freight,12.600045524397158
1992,Germany,South Korea,1148029453.8996544,1097771329.9042654,50258123.995388985,Air Freight,38.7065057837975
1992,Germany,India,4380045444.058201,4245255088.9115562,134790355.1466446,Eurasian Railway,32.46706210998345
1992,Germany,UK,5251143049.622379,5361294851.133164,-110151801.5107851,Air Freight,8.009243890626456
1992,Germany,Taiwan,2742184309.734598,2744462754.1396036,-2278444.405005455,Eurasian Railway,35.50082226165951
1992,Germany,Vietnam,9855398215.017561,9712299231.693817,143098983.32374382,Indian Ocean,6.966822785663993
1992,Germany,Mexico,10334018513.286016,10428107225.033861,-94088711.7478447,Eurasian Railway,14.173286401298379
1992,Malaysia,USA,12521924641.05649,12232860569.91426,289064071.1422291,Air Freight,36.23723610011581
1992,Malaysia,China,1365429911.0594332,1407514024.0146894,-42084112.95525622,Eurasian Railway,30.055434025413224
1992,Malaysia,Japan,8957225425.901901,8659579311.515759,297646114.38614273,Indian Ocean,14.865090550023014
1992,Malaysia,Germany,10803203787.582888,10490186110.203453,313017677.3794346,Eurasian Railway,23.78173159992355
1992,Malaysia,South Korea,2893705497.1374187,2888520312.044858,5185185.092560768,Eurasian Railway,9.739044370260448
1992,Malaysia,India,5624052424.5092535,5418948520.708221,205103903.80103207,Indian Ocean,9.480866700137687
1992,Malaysia,UK,12892016119.781382,13378307279.030918,-486291159.2495365,Eurasian Railway,39.48971225004258
1992,Malaysia,Taiwan,2379501045.7153068,2279718466.919118,99782578.79618883,Indian Ocean,36.60418532661098
1992,Malaysia,Vietnam,1674904668.6961014,1714804064.4022207,-39899395.7061193,Pacific Ocean,9.640513374173558
1992,Malaysia,Mexico,10150927635.912252,9954707433.899664,196220202.0125885,Air Freight,24.24961437399759
1992,Singapore,USA,11220396581.310102,11633953057.476828,-413556476.16672516,Eurasian Railway,36.542125109752405
1992,Singapore,China,840496701.5140288,811460851.8680737,29035849.645955086,Pacific Ocean,21.36390917934042
1992,Singapore,Japan,9242232379.17747,9093959312.406631,148273066.77083778,Pacific Ocean,30.48777732926309
1992,Singapore,Germany,10732642865.495218,10563676748.749775,168966116.74544334,Eurasian Railway,25.110238628569988
1992,Singapore,South Korea,7425990527.4269495,7420542988.477566,5447538.949383736,Pacific Ocean,5.223781322660685
1992,Singapore,India,2318660459.779823,2324124470.7100344,-5464010.930211544,Air Freight,11.029268502452588
1992,Singapore,UK,7467704709.070449,7353179761.4166,114524947.65384865,Eurasian Railway,8.690730198272519
1992,Singapore,Taiwan,6724756265.401762,6817410395.894758,-92654130.49299622,Air Freight,29.834870073932134
1992,Singapore,Vietnam,2681524506.7716527,2556260501.8909683,125264004.88068438,Indian Ocean,7.441371986211872
1992,Singapore,Mexico,2739077476.534056,2847525962.2721148,-108448485.73805857,Air Freight,39.02640388654644
1993,Taiwan,USA,20436577357.873165,20084363226.548496,352214131.3246689,Air Freight,86.56240840345282
1993,Taiwan,China,30610951991.338215,29425337922.15726,1185614069.180954,Indian Ocean,21.92718149829733
1993,Taiwan,Japan,356852514.47572416,342845032.82598394,14007481.64974022,Air Freight,50.790197916327685
1993,Taiwan,Germany,3998464172.125616,3848602794.102871,149861378.02274513,Pacific Ocean,75.01840395452686
1993,Taiwan,South Korea,6577279737.891194,6836872586.97773,-259592849.08653545,Indian Ocean,14.86530494798398
1993,Taiwan,India,4313100258.667372,4140375974.3023715,172724284.36500025,Eurasian Railway,14.96199002822265
1993,Taiwan,UK,10020338053.90243,9715432609.133797,304905444.7686329,Pacific Ocean,34.38639575852584
1993,Taiwan,Vietnam,9043954938.22333,9304979530.13382,-261024591.91049004,Air Freight,44.03592932414536
1993,Taiwan,Mexico,11158035489.846298,10855882819.218634,302152670.62766457,Pacific Ocean,87.8533166127692
1993,USA,China,8612354938.199112,8793047388.782764,-180692450.5836525,Eurasian Railway,69.64911241409952
1993,USA,Japan,11406936901.88755,11323486932.78898,83449969.09856987,Pacific Ocean,67.05725171545998
1993,USA,Germany,6112599484.453902,6150096888.502978,-37497404.04907608,Air Freight,22.239662934253957
